transactionType,transactionStatus,transactionScac,transactionCompanyName,transactionLicenseNo,transactionStarted,transactionChanged,transactionStage,chassisDamaged,containerDamaged,notes,containerAccNbr,chassisAccNbr,transactionNextStage,tStateTime,unitNbr,length,height,facility,tranNbr,category,chassisNbr,dwell,ecInTime,isHazardous,hazDoc,lastMove,lineName,lineCode,position,timeCreated,timeIn,timeOut,tState,type,typeArchISO,vgmWeight,vState,gkey,bookingNo,chassisType,inboundCarrier,outboundCarrier,pod,freightKind,weight,daysOnTerminal,hazards/0/code,hazards/0/description,hazards/0/hazardUnNumber,hazards/1/code,hazards/1/description,hazards/1/hazardUnNumber
Deliver Chassis,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-15T14:02:24.848000,2019-07-15T14:03:20.774000,Outgate,False,False,,,,,2019-07-15T14:03:23,,40',"4'0""",PMT,780126,Storage,MCCZ406721,False,,False,False,2019-07-17T14:04:42.559000,,HRC,T-UN11316,2019-07-11T14:16:00,2019-07-12T09:04:26,2019-07-15T14:03:23,Departed,CH,CH40,,Departed,4765708159,,,T-GEN_TRUCK,T-UN11316  (GTYQ),,,6601,4,,,,,,
Deliver Import,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-15T11:25:44.228000,2019-07-15T12:05:51.683000,Outgate,False,False,GTYQ FOR 7/15,,,,2019-07-15T12:05:51,CMAU4470413,40',"9'6""",NIT,3187319,Import,FLGZ681771,False,,False,False,2019-07-19T12:07:31.700000,,CMA,T-UN11316-2,2019-06-21T10:46:28,2019-07-11T09:28:31,2019-07-15T12:05:51,Departed,G1,496DR,23177,Departed,5801216476,,CH40,V-CPP-010E  (OOL),T-UN11316  (GTYQ),CMH,FCL,23177,5,,,,,,
Deliver Chassis,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-15T05:42:35.925000,2019-07-15T05:42:36.138000,Outgate,False,False,,,,,2019-07-15T05:42:44,,20',"4'3""",PCY,27414,Storage,HRCZ320078,False,,False,False,2019-07-15T05:42:44.707000,,HRC,T-UN11316,2019-07-12T13:33:43,2019-07-12T13:33:43,2019-07-15T05:42:44,Departed,CH,TRI20,,Departed,4766667084,,,T-PWL1342  (TDSN),T-UN11316  (GTYQ),,,11199,4,,,,,,
Deliver Chassis,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-12T13:20:29.166000,2019-07-12T13:21:31.769000,Outgate,False,False,,,,,2019-07-12T13:21:43,,40',"4'0""",PMT,779632,Storage,QCGZ402952,False,,False,False,2019-07-14T13:22:42.544000,,HRC,T-UN11316,2019-07-01T10:59:24,2019-07-01T11:02:54,2019-07-12T13:21:43,Departed,CH,CH40,,Departed,4756752857,,,T-GEN_TRUCK,T-UN11316  (GTYQ),,,6799,12,,,,,,
Receive Chassis,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-11T16:04:20.241000,2019-07-11T16:04:20.475000,Ingate,False,False,,,,,2019-07-12T10:13:14,,20',"4'0""",PCY,25210,Storage,APMZ234714,False,,False,False,2019-07-12T10:13:15.090000,,HRC,T-J9563HY,2019-07-11T16:04:20,2019-07-11T16:04:20,2019-07-12T10:13:14,Departed,CH,CH20,,Departed,4765844155,,,T-UN11316  (GTYQ),T-J9563HY  (AISB),,,6799,2,,,,,,
Receive Empty,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-11T15:56:28.272000,2019-07-11T15:56:28.647000,Ingate,False,False,,,,,2019-07-12T05:22:04,MSKU7096798,20',"8'6""",PCY,25195,Storage,APMZ234714,False,,False,False,2019-07-12T05:22:04.557000,,MSK,T-ML8601,2019-07-11T15:56:28,2019-07-11T15:56:28,2019-07-12T05:22:04,Departed,G1,286DR,,Departed,4765831489,,,T-UN11316  (GTYQ),T-ML8601  (NELE),,MTY,4189,2,,,,,,
Receive Chassis,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-11T15:40:06,2019-07-11T15:40:06.404000,Ingate,False,False,,,,,2019-07-12T05:39:23,,20',"4'0""",PCY,25162,Storage,FPLZ178829,False,,False,False,2019-07-12T05:39:23.487000,,HRC,T-17-949PZ,2019-07-11T15:40:06,2019-07-11T15:40:06,2019-07-12T05:39:23,Departed,CH,CH20,,Departed,4765813034,,,T-UN11316  (GTYQ),T-17-949PZ  (JFKL),,,6799,2,,,,,,
Receive Empty,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-11T15:28:01.510000,2019-07-11T15:28:01.947000,Ingate,False,False,,,,,2019-07-12T05:48:26,TCKU1229034,20',"8'6""",PCY,25132,Storage,FPLZ178829,False,,False,False,2019-07-12T05:48:26.284000,,MSK,T-17949,2019-07-11T15:28:01,2019-07-11T15:28:01,2019-07-12T05:48:26,Departed,G1,286DR,,Departed,4765793751,,CH20,T-UN11316  (GTYQ),T-17949  (JFKL),,MTY,4817,2,,,,,,
Deliver Import,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-11T11:55:18.292000,2019-07-11T12:13:31.062000,Outgate,False,False,407,,,,2019-07-11T12:13:34,TRLU8249070,40',"9'6""",PMT,779110,Import,FLXZ496074,False,,False,False,2019-07-13T12:14:42.551000,,MSC,T-UN11316,2019-06-20T15:35:11,2019-07-05T21:24:18,2019-07-11T12:13:34,Departed,10,496DR,,Departed,4747226282,,CH40,V-MKGC-927E  (MSK),T-UN11316  (GTYQ),NFK,FCL,17813,7,,,,,,
Deliver Import,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-11T07:48:53.992000,2019-07-11T08:41:02.791000,Outgate,False,False,GTYQ FOR 7/11,,,,2019-07-11T08:41:03,HOTU1615164,20',"8'6""",NIT,3180884,Import,HRCZ320023,False,,False,False,2019-07-15T08:41:31.667000,,CMA,T-UN11316-3,2019-06-14T11:46:02,2019-07-06T01:28:39,2019-07-11T08:41:03,Departed,T6,286TK,52448,Departed,5786916051,,CH20,V-OCAS-135E  (OOL),T-UN11316  (GTYQ),C59,FCL,52448,6,,,,,,
